,和暦（暦年）,西暦（暦年）,月,１月,２月,３月,４月,５月,６月,上半期計,７月,８月,９月,10月,11月,12月,下半期計,年間合計
0,昭和45年,1970.0,人,1237.0,1140.0,1379.0,1271.0,1419,1289,7735.0,1480,1545,1467,1476,1515,1547,9030,16765
1,平成19年,2007.0,人,496.0,454.0,453.0,424.0,432,427,2686.0,474,528,475,549,511,573,3110,5796
2,平成20年,2008.0,人,403.0,362.0,391.0,404.0,387,372,2319.0,449,477,398,504,491,571,2890,5209
3,平成21年,2009.0,人,384.0,364.0,387.0,357.0,406,354,2252.0,381,440,407,468,489,542,2727,4979
4,平成22年,2010.0,人,393.0,354.0,368.0,356.0,380,357,2208.0,409,438,415,469,425,584,2740,4948
5,平成24年,2012.0,人,326.0,325.0,342.0,341.0,310,302,1946.0,347,392,373,440,435,505,2492,4438
6,平成25年,2013.0,人,347.0,339.0,334.0,345.0,332,314,2011.0,332,374,366,381,432,492,2377,4388
7,平成26年,2014.0,人,355.0,307.0,311.0,313.0,322,317,1925.0,325,301,345,400,377,440,2188,4113
8,平成27年,2015.0,人,346.0,308.0,317.0,320.0,314,287,1892.0,333,340,339,391,379,443,2225,4117
9,平成28年,2016.0,人,349.0,261.0,321.0,309.0,323,264,1827.0,294,328,309,376,350,420,2077,3904
10,平成29年,2017.0,人,282.0,288.0,303.0,244.0,282,276,1675.0,314,310,299,343,372,381,2019,3694
11,平成30年,2018.0,人,318.0,245.0,282.0,270.0,253,235,1603.0,280,296,279,338,326,410,1929,3532
12,令和元年,2019.0,人,265.0,210.0,261.0,266.0,210,206,1418.0,229,278,293,313,328,356,1797,3215
13,令和2年,2020.0,人,262.0,247.0,239.0,213.0,194,202,1357.0,191,197,243,273,280,298,1482,2839
14,令和3年,2021.0,人,198.0,207.0,210.0,198.0,183,202,1198.0,230,193,207,273,251,284,1438,2636
